<br>","<code>apply(max, lst)</code>","<code>apply(sum, lst)</code>","<code>apply(print, lst)</code>","<code>apply(min, lst)</code>",,,,,,,,,,,

"<p>The list <code>[4, 2, 5, 6, 7, 3, 1]</code> is shown below after each pass of a sorting algorithm:</p>

<pre>

    [4, 2, 5, 6, 7, 3, 1]

    [2, 4, 5, 6, 7, 3, 1]

    [2, 4, 5, 6, 7, 3, 1]

    [2, 4, 5, 6, 7, 3, 1]

    [2, 4, 5, 6, 7, 3, 1]

    [2, 3, 4, 5, 6, 7, 1]

    [1, 2, 3, 4, 5, 6, 7]

</pre>

<p>Which sorting algorithm is being executed?</p>",bubble sort,insertion sort,selection sort,,,,,,,,,,,,

"Consider the following code:

<pre>

s = 'Call Me Maybe'</code>

</pre>

Select the expression(s) that produce <code>'e'</code>.

<br>",<code>s[12]</code>,<code>s[13]</code>,<code>s[-0]</code>,<code>s[-1]</code>,,,,,,,,,,,

"To indicate To indicate the order that operations are executed when the expression <code>4 + 8 / 2 ** 2 / -2</code> is evaluated, rewrite the expression using parentheses.",<code>((((4 + 8) / 2) ** 2) / -2)</code>,<code>(4 + ((8 / 2) ** (2 / -2)))</code>,<code>(4 + (8 / (2 ** (2 / -2))))</code>,<code>(4 + ((8 / (2 ** 2))) / -2)</code>,,,,,,,,,,,

"Consider this code:

<pre>

round(45.342)

</pre>

What value does the expression above produce?",45.342,45.34,45.3,45,,,,,,,,,,,

Select the expression(s) that produce True,<code>'I' in 'smiles'</code>,<code>'smiles' in 'smiles'</code>,<code>'limes' in 'smiles'</code>,<code>'mile' in 'smiles'</code>,,,,,,,,,,,

"Consider this code:

<pre>

name_to_binomial = {'human': 'Homo sapiens',

                    'dog': 'Canis familiaris',

                    'narwhal': 'Monodon monoceros'}

</pre>

Select the expressions that evaluate to True.",'dog' in name_to_binomial,'Canis familiaris' in name_to_binomial,name_to_binomial[0] == 'human',len(name_to_binomial) == 3," name_to_binomial == {'dog': 'Canis familiaris',

                                     'narwhal': 'Monodon monoceros',

                                     'human': 'Homo sapiens'}",,,,,,,,,,

"L refers to a list. If there are k items in the list, roughly how many times is the assignment statement <code>sum = sum + i + j</code> executed?

<pre>

sum = 0

for i in range(10):

    for j in range(len(L)):

        sum = sum + i + j

</pre>",1,4,k/2,k,k<sup>2,10k,,,,,,,,,

"The Python expression <code>9 / 3</code> produces the value <code>3.0</code>, which has type <code>float</code>.  For the expression <code>9 // 3</code>, what value is produced and what type does it have?",<code>3</code> (type <code>int</code>),<code>3.0</code> (type <code>float</code>),,,,,,,,,,,,,

"For <b>selection sort</b>, after one pass of the algorithm is completed, what do we know about the item at index 0 of the list?",Nothing; we don't know what item will be at index 0.,The smallest item will be at index 0.,The item at index 0 will be the same as in the original list.,The second smallest item will be at index 0.,,,,,,,,,,,

"Recall that <code>count_adjacent_repeats</code> used <code> for i in range(len(s) - 1):</code>. What would happen if we had used <code>range(len(s))</code> instead, as below?



<pre>def count_adjacent_repeats(s):

    repeats = 0

    for i in range(len(s)):

        if s[i] == s[i + 1]:

            repeats = repeats + 1

    return repeats</pre>",The code will not work because now it counts the last duplicate character twice.,The loop will run for one extra iteration where <code>i</code> refers to <code>len(s)</code>.,Nothing. The two versions are equivalent.,The last iteration will cause an error because <code>i + 1</code> is an illegal index.,,,,,,,,,,,

"The function <code>count_vowels</code> returns the number of vowels in a given word (a <code>str</code>). For example:

<pre>

>>> count_vowels(""moose"")

3

>>> count_vowels(""scratch"")

1

</pre>

The <b>Type Contract</b> is the line of a docstring that describes the types of the parameters and return value. Select the correct Type Contract for this function.",(str) -> int,(int) -> str,(string) -> integer,(integer) -> string,,,,,,,,,,,

"Select the code fragment(s) that will run and create a dictionary equivalent to the following:

<pre>

{2: 'coffee', 5: 'donuts', 7: 'coffee', 9: 'cake', 10: 'balloons', 15: 'juice'}</pre>","<pre>d = {2: 'coffee', 5: 'donuts', 7: 'coffee', 9: 'cake', 10: 'balloons', 15: 'juice'}</pre>","<pre>d = {2: 'coffee', 10: 'balloons'}

d.append(15: 'juice')

d.append(5: 'donuts')

d.append(7: 'coffee')

d.append(9: 'cake')</pre>","<pre>d = {2: 'juice', 5: 'donuts', 7: 'coffee', 9: 'steak', 9: 'cake' }

d[2] = 'coffee'

d[10] = 'balloons'

d[15] = 'juice'</pre>","<pre>d = {}

d[2] = 'coffee'

d[15] = 'juice'

d[7] = 'coffee'

d[5] = 'donuts'

d[9] = 'cake'

d[10] = 'balloons'</pre>",,,,,,,,,,,

"Recall our code for the function <code>count_vowels</code> (shortened for space):



<pre>def count_vowels(s):

    num_vowels = 0

    for char in s: 

        if char in 'aeiouAEIOU':

            num_vowels = num_vowels + 1

    return num_vowels</pre>



What will happen when we pass the empty string as the argument (that is, <code>count_vowels("""")</code>)?",An error will be raised when Python tries to iterate through the empty string.,"The <code>for</code> loop body will not execute, and <code>num_vowels</code> will continue to refer to <code>0</code>.","The <code>for</code> loop body will execute 1 time, with <code>char</code> referring to <code>""""</code>. The <code>if</code> condition will be <code>True</code>, and <code>num_vowels</code> will then refer to <code>1</code>.",,,,,,,,,,,,

"When applied to two <code>int</code> operands, which operation always evaluates to type <code>float</code>?",multiplication,exponentiation,division,modulo (remainder),integer division,,,,,,,,,,

"Select the expression that correctly completes the missing line in function <code>last_vowel</code>.

<pre>def last_vowel(s):

    """"""(str) -> str

    Return the last vowel in s if one exists; otherwise, return None.

    >>> last_vowel(""cauliflower"")

    ""e""

    >>> last_vowel(""pfft"")

    None

    """"""

    i = ________

    while i >= 0:

        if s[i] in 'aeiouAEIOU':

            return s[i]

        i = i - 1

    return None</pre>",<code>0</code>,<code>len(s) - 1</code>,<code>len(s)</code>,,,,,,,,,,,,

"Consider this code:

<pre>

x = 3

y = 5

x = y 

</pre>

After the code above has executed, what value does <code>x</code> refer?",3,3,5,5,,,,,,,,,,,

"When variables <code>first</code> and <code>last</code> refer to the same <code>int</code> value, select the expression(s) that produce <code>True</code>.",<code>first != last</code>,<code>first >= last</code>,<code>last > first</code>,<code>first == last</code>,,,,,,,,,,,

"We have a spreadsheet file that we've opened and assigned to f:



<code>f = open('budgie_budget.csv')</code>



Consider this code fragment:

<pre>

f.readline()

for line in f:

    print(line)

</pre>



Which description best matches this code fragment?

",prints only the first line,prints every line except the first,prints all lines,prints every second line,,,,,,,,,,,

What Python type should we use to represent the <em>new story</em>?,<code>int</code>,<code>str</code>,<code>list of str</code>,,,,,,,,,,,,

"Select the code fragment(s) that do not create a nested list (a list that contains at least one other

list).

","<pre>

nums = [] 

for i in range(4):

    nums = nums + [i]

</pre>","<pre>

nums = [0, 1, 2, 3]

nums[-1] = [3, 4, 5]

</pre>","<pre>

nums = [0, 1, 2, 3]

letters = ['a', 'b', 'c', nums]

</pre>","<pre>

nums = [] 

for i in range(4):

    nums.append([i])

</pre>",,,,,,,,,,,

Select the call(s) that end up terminating the while loop with <code>b == len(L)</code>.,"<code>binary_search([1, 2, 3], 4)</code>","<code>binary_search(['a', 'b', 'c', 'c', 'c'], 'c')</code>","<code>binary_search([], 3.14159)</code>","<code>binary_search([1, 2, 3], 0)</code>",,,,,,,,,,,

"List <code>[8, 2, 8, 7, 3, 1, 2]</code> is being sorted using bubble sort. Select the the option that corresponds to each pass in bubble sort.","<pre>

[1, 2, 8, 7, 3, 8, 2]

[1, 2, 8, 7, 3, 8, 2]

[1, 2, 2, 7, 3, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

</pre>","<pre>

[2, 8, 7, 3, 1, 2, 8]

[2, 7, 3, 1, 2, 8, 8]

[2, 3, 1, 2, 7, 8, 8]

[2, 1, 2, 3, 7, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

[1, 2, 2, 3, 7, 8, 8]

</pre>","<pre>

[8, 2, 8, 7, 3, 1, 2]

[2, 8, 8, 7, 3, 1, 2]

[2, 8, 8, 7, 3, 1, 2]

[2, 7, 8, 8, 3, 1, 2]

[2, 3, 7, 8, 8, 1, 2]

[1, 2, 3, 7, 8, 8, 2]

[1, 2, 2, 3, 7, 8, 8]

</pre>",,,,,,,,,,,,

"Consider the following function definition:

<pre>

def weather_report(temp):

    if temp >= 20:

        return 'warm enough for ice cream'

    elif temp >= 0:

        return 'above freezing'

</pre>



Select the function call(s) that produce <code>'warm enough for ice cream'</code>.",<code>weather_report(30)</code>,<code>weather_report(-5)</code>,<code>weather_report(20)</code>,<code>weather_report(10)</code>,,,,,,,,,,,

"Consider this code:

<pre>

veggies = ['carrot', 'broccoli', 'potato', 'asparagus']

veggies.insert(veggies.index('broccoli'), 'celery')

print(veggies)

</pre>



What is printed by the code above?","<code>['celery', 'carrot', 'broccoli', 'potato', 'asparagus']</code>","<code>['carrot', 'celery', 'potato', 'asparagus']</code>","<code>['carrot', 'celery', 'broccoli', 'potato', 'asparagus']</code>","<code>['carrot', 'broccoli', 'celery', 'potato', 'asparagus']</code>",,,,,,,,,,,

"What value does the expression <code>len('')</code> produce?

<br />

Note: there are no spaces between the quotes.",0,1,2,None,,,,,,,,,,,

"This <code>for</code> loop prints the even numbers from 2 to 8 inclusive:



<pre>for ch in '123456789':

    num = int(ch)

    if num % 2 == 0:

        print(num)</pre>



Select the while loop code fragment(s) that print(s) the same numbers.","<pre>

i = 0

while i < 10:

    i = i + 2

    print(i)

</pre>","<pre>

i = 2

while i < 8:

    i = i + 2

    print(i)

</pre>","<pre>

i = 2

while i < 10:

    i = i + 2

    print(i)

</pre>","<pre>

i = 0

while i < 8:

    i = i + 2

    print(i)

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['kangaroo'].append('airplane')

</pre>

Will the number of key/value pairs in the dictionary increase?",yes,no,,,,,,,,,,,,,

"Consider this function header and docstring:

<pre>

def is_one_to_one(d):

    """""" (dict of {str: int}) -> bool



    Return True if and only if no two of d's keys map to the same value.



    >>> is_one_to_one({'a': 1, 'b': 2, 'c': 3})

    True

    >>> is_one_to_one({'a': 1, 'b': 2, 'c': 1})

    False

    >>> is_one_to_one({})

    True

    """"""

</pre>

Select the algorithm(s) that can be used to implement <code>is_one_to_one</code>.","<ol>

<li> Put all the values from <code>d</code> into a list.</li>

<li> For each value in the list, count how many times it appears in the list.  If a value appears more than once in the list, return <code>False</code>.</li>

<li>Once all the values in the list have been processed, return <code>True</code> because we didn't see a duplicate value.</li>



</ol>","<ol>

<li>Put all the values from <code>d</code> into a list.</li>

<li>Make a copy of that list.</li>

<li>Remove all the duplicate items from the second list.</li>

<li>Compare the lengths of the two lists.  If they are equal, return <code>True</code> because that means that there were no duplicate items; otherwise, return <code>False</code>. </li>



</ol>","<ol>

<li> For each key in <code>d</code>, if the value associated with that key is also a key in <code>d</code>, return <code>False</code>.</li>

<li>Once all the keys in <code>d</code> have been processed, return <code>True</code> because we didn't see a duplicate value.</li>

</ol>","<ol>

<li> Use a list accumulator to keep track of the values we've seen so far.</li>

<li> For each key in <code>d</code>, if the value associated with that key has already been seen, return <code>False</code>; otherwise, append it to the list of values that we've seen so far.</li>

<li>Once all the keys have been processed, return <code>True</code> because we didn't see a duplicate value.</li>

</ol>",,,,,,,,,,,

"When the expression <code>10 / 4</code> is evaluated, what value is produced and what type does that value have?",<code>2.0</code> (type <code>float</code>),<code>2.5</code> (type <code>float</code>),<code>2</code> (type <code>int</code>),,,,,,,,,,,,

"Consider the function described by the following docstring:

<pre>

def count_digits(s):

    """""" (str) -> int

        

    Return the number of characters in s that are digits.

    """"""

</pre>

Which two test case factors would be most appropriate to consider when choosing test cases for this function?

<br>","Size, because we need to test with different length strings.","Dichotomies, because we need to test with even and odd length strings.","Boundaries, because 0 and 9 are thresholds.","Order, because we need to test with digits at the front, middle, and end of s.",,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['orangutan'].append('brachiate')

</pre>

Will an error occur when the code is executed?",yes,no,,,,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['dolphin'] = animal_to_locomotion['fish']

</pre>

Will the number of key/value pairs in the dictionary increase?",yes,no,,,,,,,,,,,,,

"Consider this code:

<pre>

8 = x

</pre>

When the code above is executed, what type of error occurs?","<code>SyntaxError</code>, because the variable being assigned to must be on the left hand side (LHS)","<code>NameError</code>, because 8 is not a valid name for a variable",,,,,,,,,,,,,

"Function <code>max_of_min</code> takes four numbers, <code>num1</code>, <code>num2</code>, <code>value1</code>, and <code>value2</code>, determines the minimum of <code>num1</code> and <code>num2</code> and the minimum of <code>value1</code> and <code>value2</code>, and returns the maximum of those two minimums.<br><br>



What value does <code>max_of_min(4, 3.7, 6, 3.5)</code> produce?",<code>3.7</code>,<code>6</code>,<code>3.5</code>,<code>4</code>,,,,,,,,,,,

"For <b>insertion sort</b>, after three passes of insertion sort have been completed, what do we know for sure about the first three items in the list?",They are sorted relative to each other.,They are the smallest items in the list.,They are the largest items in the list.,,,,,,,,,,,,

"<code>L</code> refers to a list. If there are <code>k</code> items in the list, roughly how times is the assignment statement <code>sum = val1 - val2</code> executed?



<pre>

sum = 0

    for val1 in L:

        for val2 in L:

            sum = val1 - val2

</pre>",1,4,k,10k,k/2,k<sup>2,,,,,,,,,

"Consider this code:

<pre>

def f(L):

    """""" (list of number) -> number""""""



    total = 0



    for item in L:

        for i in range(10):

            total = total + item * i # The step being considered.



    return total

</pre>

How does the number of steps grow relative to <code>len(L)</code>?

<br>",The number of steps is <b>constant</b>.,The number of steps grows <b>logarithmically</b> with respect to <code>len(L)</code>.,The number of steps grows <b>linearly</b> with respect to <code>len(L)</code>.,The number of steps grows <b>quadratically</b> with respect to <code>len(L)</code>.,,,,,,,,,,,

"<p>What does <code>sum_items([2, 4, 2], [1, 2])</code> produce? (Again, this input violates our precondition.)</p>



<pre>def sum_items(list1, list2):

    sum_list = []

    for i in range(len(list1)):

        sum_list.append(list1[i] + list2[i])

    

    return sum_list</pre>",It will raise an error as a result of an illegal index.,"<code>[3, 6, 2]</code>","<code>[3, 6]</code>","<code>[3, 6, 0]</code>",,,,,,,,,,,

"When the expression <code>10 // 4</code> is evaluated, what value is produced and what type does that value have?",<code>2.5</code> (type <code>float</code>),<code>2</code> (type <code>int</code>),<code>2.0</code> (type <code>float</code>),,,,,,,,,,,,

"In terms of the length of the list, does <code>selection_sort</code> have constant running time, linear running time, quadratic running time, or some other running time?

",constant,something else,linear,quadratic,,,,,,,,,,,

"For which positive integers <code>n</code> does <code>n % 2</code> produce <code>0</code>?

",All odd positive integers,All positive integers,No positive integers,All even positive integers,,,,,,,,,,,

"<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizing_function_calls_3.png"" width=""80%"" height=""80%""/>

<br>

The red arrow indicates the line that is about to be executed.  What value does <code>result</code> refer to at the current stage of execution?

",5,300,0,<code>result</code> is not defined,,,,,,,,,,,

"Here is the code for <code>insert</code> with docstring and comments removed:

<pre>

def insert(L, i):

    value = L[i]



    while i > 0 and L[i - 1] > value:

        L[i] = L[i - 1]

        i = i - 1



    L[i] = value

</pre>

When <code>insert(L, 4)</code> is executed on the example list, how many assignment statements are executed?",6,8,0,2,10,,,,,,,,,,

"The list [4, 2, 5, 6, 7, 3, 1] is shown below after each pass of a sorting algorithm:

<pre>

[1, 2, 5, 6, 7, 3, 4]

[1, 2, 5, 6, 7, 3, 4]

[1, 2, 3, 6, 7, 5, 4]

[1, 2, 3, 4, 7, 5, 6]

[1, 2, 3, 4, 5, 7, 6]

[1, 2, 3, 4, 5, 6, 7]

[1, 2, 3, 4, 5, 6, 7]

</pre>

Which sorting algorithm is being executed?",bubble sort,selection sort,insertion sort,,,,,,,,,,,,

Select the expression(s) that can be used as dictionary keys.,"<code>('single',)</code>","<code>['a', 'b']</code>","<code>(1, 'fred', 2.0)</code>","<code>{1: 2, 3: 4}</code>",,,,,,,,,,,

"We have a spreadsheet file that we've opened and assigned to f:



<code>f = open('budgie_budget.csv')</code>



Consider this code fragment:

<pre>

print(f.readlines()[0])

</pre>



Which description best matches this code fragment?

",prints only the first line,prints every line except the first,prints all lines,prints every second line,,,,,,,,,,,

What Python type should we use to represent the <em>number of words in the new story</em>?,<code>list of str</code>,<code>str</code>,<code>int</code>,,,,,,,,,,,,

"<p>Recall function <code>convert_to_celsius</code> from the <b>Design Recipe</b> lecture.  That function has one parameter representing a temperature in Fahrenheit and returns that temperature in Celsius. In the same file, we define another function:

<pre>

def colder_temperature(temp1, temp2):

    """"""(number, number) -> number

    Return the colder of the two temperatures, temp1 (degrees Celsius)

    and temp2 (degrees Fahrenheit), in degrees Celsius.

    """"""

</pre>

Which of the following is the best choice for the function body?","<pre>

temp2_celsius = convert_to_celsius(temp2)

return min(temp1, temp2_celsius)

</pre>","<pre>

temp2_celsius = (temp2 - 32) * 5 / 9

return min(temp1, temp2_celsius)

</pre>",,,,,,,,,,,,,

"What value does <code>max(10.1, 13, 16)</code> produce?

",<code>10.1</code>,<code>13</code>,<code>16</code>,,,,,,,,,,,,

"For expression <code>7 * 3 + 4 / 2</code>, in which order are the operations evaluated?","<code>+</code>, <code>*</code>, <code>/</code>","<code>*</code>, <code>+</code>, <code>/</code>","<code>*</code>, <code>/</code>, <code>+</code>",,,,,,,,,,,,

"When the expression <code>10 // 3</code> is evaluated, what value is produced and what type does that value have?",<code>3</code> (type <code>int</code>),<code>3.0</code> (type <code>float</code>),<code>3.3</code> (type <code>float</code>),<code>3.3333333333333335</code> (type <code>float</code>),,,,,,,,,,,

"Consider this code:

<pre>

value = 8.564

result = round(value)

</pre>

Select the phrase that describes <code>value</code> in the <strong>second</strong> line.",an argument,a parameter,a function name,,,,,,,,,,,,

"The following is a valid Python expression, where <code>x</code> is a variable that refers to an <code>int</code> value:

<pre>

8 &gt; x &gt;= 5

</pre>

Select the expression that is equivalent to the one above. ",<code>8 &gt; x and x &gt;= 5</code>,<code>8 &gt; x or x &gt;= 5</code>,<code>not (8 &gt; x and x &gt;= 5)</code>,<code>x &gt; 8 and x &gt;= 5</code>,,,,,,,,,,,

"Consider this code:

<pre>

if age >= 65:

    return True

if age <= 18:

    return True

else:

    return False

</pre>



The code above is more complex than necessary. Which of the following is

the simplest equivalent code fragment?",<pre>return age >= 65 or age <= 18 or False</pre>,"<pre>

if age >= 65 or age <= 18:

    return True

</pre>",<pre>return age >= 65 or age <= 18</pre>,<pre>return age >= 65 and age <= 18</pre>,<pre>return 18 <= age >= 65</pre>,,,,,,,,,,

"In <b>bubble sort</b>, on the first pass through the list, which item gets moved to the far right?",The smallest item.,The item that was originally at the second-last index.,The item that was originally at index 0.,The largest item.,An odd number.,,,,,,,,,,

"When the expression <code>10 % 3</code> is evaluated, what value is produced and what type does that value have?",<code>1</code> (type <code>int</code>),<code>0</code> (type <code>int</code>),<code>1.0</code> (type <code>float</code>),<code>0.3333333333333333</code> (type <code>float</code>),,,,,,,,,,,

"<i>classlist.txt</i> is a text file with 50 lines, each one containing one student name. For example:



<pre>Miles, Joey

Truong, Jimmy

Luke, Clara

Kochtane, Amine

...</pre>



We want to print the class list in order, sorted alphabetically by last name. Which approach to reading a file is ideal for this task?",The <code>for line in file</code> approach,The <code>read</code> approach,The <code>readlines</code> approach,The <code>readline</code> approach,,,,,,,,,,,

"After line 13 of <a href=""http://pythontutor.com/csc108h.html#code=%23+When+you+arrive+at+UofT+you+need+20+credits.%0Acompleted+%3D+0%0Arequired+%3D+20%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+the+holiday+break,+you%E2%80%99ve+done+5+courses.%0Acompleted+%3D+5%0A%0A%23+Oops!++They+were+5+half-courses.%0Acompleted+%3D+completed+/+2%0A%0A%23+Let%E2%80%99s+update+the+number+of+credits+remaining.%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+April,+you+have+completed+5+full+credits.%0Acompleted+%3D+5%0A%0A%23+By+the+end+of+2nd+year,+you+have+done+5+more+full+credits.%0Acompleted+%3D+completed+%2B+5&mode=display&origin=csc108h.js&rawInputLstJSON=%5B%5D&curInstr=0"" target=""_blank"">this code</a> has been executed, what value does <code>credits_to_go</code> refer to?",<code>18</code>,<code>17</code>,<code>17.5</code>,,,,,,,,,,,,

"After line 19 of <a href=""http://pythontutor.com/csc108h.html#code=%23+When+you+arrive+at+UofT+you+need+20+credits.%0Acompleted+%3D+0%0Arequired+%3D+20%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+the+holiday+break,+you%E2%80%99ve+done+5+courses.%0Acompleted+%3D+5%0A%0A%23+Oops!++They+were+5+half-courses.%0Acompleted+%3D+completed+/+2%0A%0A%23+Let%E2%80%99s+update+the+number+of+credits+remaining.%0Acredits_to_go+%3D+required+-+completed%0A%0A%23+By+April,+you+have+completed+5+full+credits.%0Acompleted+%3D+5%0A%0A%23+By+the+end+of+2nd+year,+you+have+done+5+more+full+credits.%0Acompleted+%3D+completed+%2B+5&mode=display&origin=csc108h.js&rawInputLstJSON=%5B%5D&curInstr=0"" target=""_blank"">this code</a> has been executed, what value does <code>completed</code> refer to?",<code>10</code>,<code>15</code>,<code>20</code>,,,,,,,,,,,,

"Function <code>max_of_min</code> takes four numbers, <code>num1</code>, <code>num2</code>, <code>value1</code>, and <code>value2</code>, determines the minimum of <code>num1</code> and <code>num2</code> and the minimum of <code>value1</code> and <code>value2</code>, and returns the maximum of those two minimums.<br><br>



What value does <code>max_of_min(1, 1.7, 4.5, 3)</code> produce?",<code>1.7</code>,<code>4.5</code>,<code>1</code>,<code>3</code>,,,,,,,,,,,

"<p>We've seen that tuples behave much like lists. The following four functions were presented in earlier lecture videos; all four take one or more arguments of type <code>list</code>.</p>

<p>Select which function(s) would work if they were passed tuples instead of lists.</p>","<code>double_even_indices(lst)</code>: Double every other <code>int</code> in <code>lst</code>, starting at index 0.","<code>sum_items(list1, list2)</code>: Return a new list in which each item is the sum of the items at the corresponding position of <code>list1</code> and <code>list2</code>.",<code>calculate_average(lst)</code>: Return the average of the grades in <code>lst</code>.,<code>shift_left(lst)</code>: Shift each item in <code>lst</code> one position to the left and shift the first item to the last position.,,,,,,,,,,,

Some of the statements below are true and some are false.  Select the statement(s) that are true.,A class describes the behaviour and features of instances of that class.,An class is an object of an instance.,An object is an instance of a class.,<em>object</em> and <em>instance</em> mean the same thing.,,,,,,,,,,,

"Assuming that <code>grades</code> refers to <code>(70, 80, 90)</code>, select the expression(s) that evaluate to <code>90</code>.",<code>grades.pop()</code>,<code>grades[grades.index(90)]</code>,<code>grades[-1]</code>,<code>grades[len(grades) - 1]</code>,,,,,,,,,,,

"What does <code>s</code> refer to after this code is executed?



<pre>s = """"

names = [""Alice"", ""Bob"", ""Carol""]

for name in names:

    s = s + name</pre>","<code>[""Alice"", ""Bob"", ""Carol""]</code>","<code>""Carol""</code>","<code>""AliceBobCarol""</code>","<code>'[""Alice"", ""Bob"", ""Carol""]'</code>",,,,,,,,,,,

"For this algorithm, if we call <code>is_palindrome('kayak')</code>, in which half does <code>'y'</code> belong?",The first half.,The second half.,Neither.,,,,,,,,,,,,

"<p>If <code>grades</code> refers to <code>[70, 60, 75,  60]</code>, select the statement(s) that will remove one of the <code>60</code> values from the list. Here is documentation for <code>pop</code> and <code>remove</code>:</p>

<pre>list.pop()

    remove and return the item at the end of the list

    (optional index to remove from anywhere)



list.remove(object)

    remove the first occurrence of the object; error if not there</pre>",<code>grades.pop()</code>,<code>grades.pop(60)</code>,<code>grades.pop(1)</code>,<code>grades.remove(60)</code>,,,,,,,,,,,

What Python type should we use to represent the <em>number of words of context</em>?,<code>int</code>,<code>str</code>,<code>list of str</code>,,,,,,,,,,,,
